#TICID,Teff,SpT,TESS sectors,Flares,Rotation,ftic,Lbol,Prot,error_Prot,Amplitude,error_Amplitude,FAP,U,V,W,U_LSR,V_LSR,W_LSR,eU,eV,eW,RVReference,GalacticPopulation,Probability
204721469,2814,M6.1,"10,37",No,No,0.00428,,,,,,,-118.915,-48.842,13.038,-109.335,-38.322,20.048,2.663,1.027,0.274,SIMBAD,THIN-DISK,0.768
212324934,2928,M5.4,27,No,No,0.50367,,,,,,,,,,,,,,,,,,
71028960,2800,M6.2,"35,36",No,Yes,0.01596,,0.7221,0.01038,0.0033,0.00013,3.68E-49,-14.619,-1.52,-5.686,-5.039,9,1.324,0.29,0.004,0.011,SIMBAD,THIN-DISK,0.989
30101427,2824,M6,"11,37",Yes,No,0.01119,2.529E+030,,,,,,-18.373,-8.633,13.537,-8.793,1.887,20.547,0.384,0.007,0.011,SIMBAD,THIN-DISK,0.981
170804009,2925,M5.4,"31,32",No,Yes,0.00025,,0.4608,0.0038,0.0037,0.00006,<<1E-310,1.504,6.487,-7.194,11.084,17.007,-0.184,0.71,0.006,0.006,SIMBAD,THIN-DISK,0.987
62892848,2221,L0.2,46,No,No,0.00342,,,,,,,-35.554,-15.624,-14.351,-25.974,-5.104,-7.341,0.248,0.074,0.096,SIMBAD,THIN-DISK,0.987
38141631,2913,M5.5,"9,36,45,46",No,Yes,0.00174,,0.1292,0.00002,0.0051,0.00005,<<1E-310,5.695,-9.213,-13.521,15.275,1.307,-6.511,0.073,0.014,0.011,SIMBAD,THIN-DISK,0.988
34309473,2683,M7,32,No,No,0.25442,,,,,,,-12.282,-31.73,-16.149,-2.702,-21.21,-9.139,0.784,0.729,0.104,SIMBAD,THIN-DISK,0.987
67808251,2625,M7.4,32,No,No,0.01097,,,,,,,-44.929,-33.913,4.46,-35.349,-23.393,11.47,0.716,0.416,0.847,SIMBAD,THIN-DISK,0.983
287840802,2784,M6.3,"6,32",Yes,No,0.02518,2.238E+030,,,,,,27.947,-31.789,-18.682,37.527,-21.269,-11.672,0.866,0.041,0.025,SIMBAD,THIN-DISK,0.98
118590684,3008,M4.9,31,No,No,0.89444,,,,,,,-31.592,-76.875,48.439,-22.012,-66.355,55.449,1.101,1.003,0.632,SIMBAD,THICK-DISK,0.926
318801864,2395,M9,"7,33",Yes,No,0.29882,,,,,,,-55.894,-61.409,6.182,-46.314,-50.889,13.192,2.104,1.903,2.192,SIMBAD,THIN-DISK,0.987
98664371,2768,M6.4,46,No,Yes,0.00385,,0.4708,0.00898,0.0025,0.00003,6.65E-22,-6.803,-27.164,-16.853,2.777,-16.644,-9.843,0.156,0.029,0.018,SIMBAD,THIN-DISK,0.985
71678774,2924,M5.4,"6,33",Yes,Yes,0.11893,3.632E+030,0.9127,0.00108,0.0026,0.00004,2.23E-300,10.775,-44.584,-16.263,20.355,-34.064,-9.253,0.737,0.906,0.395,GAIA-DR3,THIN-DISK,0.985
388903843,2821,M6.1,"6,32",No,No,0.00807,,,,,,,12.159,-30.822,17.807,21.739,-20.302,24.817,0.863,0.036,0.021,SIMBAD,THIN-DISK,0.964
