#TICID  tstart  tend  ED  Amplitude  Ebol Cadence
23997017 2343.950 2343.951 15.242 0.186 4.476E+31 20
23997017 2350.832 2350.834 20.085 0.255 5.898E+31 20
23997017 2334.626 2334.631 29.492 0.095 8.661E+31 20
23997017 2353.537 2353.547 48.342 0.161 1.420E+32 20
23997017 2350.840 2350.855 118.958 0.239 3.493E+32 20
23997017 2350.827 2350.886 300.128 0.204 8.813E+32 20
187092382 1817.830 1817.869 411.093 0.409 1.278E+33 120
187092382 1826.480 1826.504 286.281 0.552 8.902E+32 120
187092382 1836.948 1836.956 119.096 0.470 3.704E+32 120
187092382 1819.729 1819.751 118.431 0.106 3.683E+32 120
187092382 1829.709 1829.719 114.476 0.400 3.560E+32 120
187092382 1832.116 1832.128 106.337 0.275 3.307E+32 120
187092382 1833.827 1833.831 71.157 0.332 2.213E+32 120
187092382 1820.052 1820.062 67.218 0.150 2.090E+32 120
187092382 1832.067 1832.074 37.007 0.072 1.151E+32 120
187092382 1821.091 1821.095 35.370 0.151 1.100E+32 120
187092382 1829.877 1829.881 26.544 0.131 8.254E+31 120
187092382 1820.561 1820.565 24.311 0.090 7.560E+31 120
187092382 1831.020 1831.024 22.272 0.106 6.926E+31 120
22535327 2220.525 2220.547 489.108 1.218 1.814E+33 120
22535327 2216.952 2217.012 426.048 0.271 1.580E+33 120
22535327 2237.180 2237.208 273.821 0.584 1.016E+33 120
22535327 2230.551 2230.568 234.395 0.519 8.695E+32 120
22535327 2231.793 2231.813 181.537 0.345 6.734E+32 120
22535327 2239.804 2239.819 104.958 0.221 3.893E+32 120
22535327 2202.356 2202.369 87.210 0.139 3.235E+32 120
22535327 2231.219 2231.233 72.730 0.103 2.698E+32 120
22535327 1492.765 1492.772 71.602 0.261 2.656E+32 120
22535327 2225.594 2225.607 47.880 0.065 1.776E+32 120
22535327 2238.857 2238.865 47.704 0.105 1.770E+32 120
22535327 2221.366 2221.373 32.246 0.079 1.196E+32 120
22535327 2223.341 2223.348 28.486 0.057 1.057E+32 120
22535327 2246.034 2246.041 23.550 0.060 8.736E+31 120
22535327 2222.161 2222.165 22.454 0.074 8.329E+31 120
22535327 2250.408 2250.413 20.342 0.054 7.546E+31 120
22535327 2211.290 2211.294 20.307 0.096 7.533E+31 120
273369281 2052.026 2052.040 87.408 0.415 3.718E+32 20
273369281 2084.062 2084.081 85.779 0.183 3.648E+32 20
273369281 1331.922 1331.945 72.790 0.086 3.096E+32 120
273369281 1328.856 1328.863 36.314 0.130 1.545E+32 120
273369281 1676.218 1676.222 29.855 0.161 1.270E+32 120
273369281 2056.798 2056.810 21.605 0.034 9.189E+31 20
273369281 1334.585 1334.593 18.973 0.046 8.070E+31 120
273369281 1336.618 1336.622 17.764 0.108 7.555E+31 120
273369281 1664.479 1664.485 16.370 0.055 6.963E+31 120
273369281 2043.626 2043.632 12.420 0.042 5.283E+31 20
273369281 1342.279 1342.283 12.096 0.058 5.145E+31 120
273369281 2043.707 2043.708 5.764 0.091 2.452E+31 20
273369281 2066.084 2066.085 5.082 0.075 2.162E+31 20
273369281 2072.163 2072.164 4.631 0.068 1.970E+31 20
273369281 2081.796 2081.797 4.187 0.083 1.781E+31 20
273369281 2067.970 2067.970 3.577 0.080 1.522E+31 20
273369281 2043.931 2043.931 3.170 0.060 1.348E+31 20
273369281 2045.019 2045.019 3.030 0.053 1.289E+31 20
273369281 2037.524 2037.525 2.329 0.042 9.906E+30 20
35025268 1810.347 1810.351 20.469 0.080 7.129E+31 120
1881309133 1733.127 1733.144 117.411 0.500 5.868E+32 120
1881309133 1733.828 1733.856 80.852 0.152 4.041E+32 120
1881309133 1733.998 1734.013 41.705 0.097 2.084E+32 120
1881309133 1712.972 1712.982 24.209 0.107 1.210E+32 120
1881309133 1714.409 1714.426 17.054 0.017 8.523E+31 120
1881309133 1701.038 1701.050 13.099 0.030 6.546E+31 120
1881309133 1709.766 1709.773 12.632 0.056 6.313E+31 120
1881309133 1700.168 1700.182 12.392 0.020 6.193E+31 120
1881309133 1697.657 1697.663 12.032 0.039 6.013E+31 120
1881309133 1716.748 1716.755 10.452 0.034 5.223E+31 120
1881309133 1689.436 1689.443 9.409 0.021 4.702E+31 120
1881309133 1693.722 1693.726 8.241 0.031 4.119E+31 120
1881309133 1731.692 1731.698 7.140 0.031 3.568E+31 120
1881309133 1705.294 1705.300 6.649 0.018 3.323E+31 120
1881309133 1732.648 1732.653 5.454 0.016 2.725E+31 120
1881309133 1704.807 1704.811 5.273 0.024 2.635E+31 120
1881309133 1700.232 1700.236 4.957 0.021 2.477E+31 120
1881309133 1733.613 1733.617 4.153 0.017 2.075E+31 120
1881309133 1709.488 1709.493 4.098 0.018 2.048E+31 120
1881309133 1726.509 1726.513 3.816 0.013 1.907E+31 120
1881309133 1734.517 1734.522 3.797 0.013 1.897E+31 120
1881309133 1730.722 1730.726 2.996 0.009 1.497E+31 120
1881309133 1714.868 1714.872 2.711 0.008 1.355E+31 120
232970271 1696.219 1696.263 1858.363 1.839 6.054E+33 120
232970271 1883.945 1883.951 30.925 0.078 1.008E+32 120
232970271 1874.966 1874.972 26.773 0.064 8.723E+31 120
232970271 1918.649 1918.653 25.321 0.106 8.250E+31 120
111898820 2362.409 2362.437 236.276 0.308 9.499E+32 20
111898820 2372.712 2372.733 138.499 0.187 5.568E+32 20
111898820 2364.455 2364.472 57.821 0.065 2.325E+32 20
111898820 2372.075 2372.086 56.710 0.081 2.280E+32 20
111898820 2383.139 2383.143 31.542 0.123 1.268E+32 20
111898820 2374.543 2374.547 25.124 0.133 1.010E+32 20
111898820 2384.002 2384.007 17.248 0.075 6.934E+31 20
111898820 2376.258 2376.259 5.327 0.073 2.142E+31 20
78772202 2287.756 2287.813 2150.962 1.359 5.314E+33 120
78772202 2281.899 2281.918 595.794 1.899 1.472E+33 120
78772202 2296.550 2296.561 147.214 0.249 3.637E+32 120
78772202 2258.710 2258.715 82.449 0.255 2.037E+32 120
78772202 2262.629 2262.635 69.718 0.274 1.723E+32 120
78772202 2266.597 2266.603 40.391 0.116 9.980E+31 120
78772202 2287.700 2287.704 34.118 0.147 8.430E+31 120
71678774 2213.245 2213.250 27.262 0.107 9.903E+31 120
71678774 1484.285 1484.291 18.033 0.041 6.550E+31 120
71678774 2210.083 2210.088 10.734 0.033 3.899E+31 120
71581249 1474.139 1474.145 35.672 0.092 9.878E+31 120
71581249 1474.081 1474.103 268.092 0.389 7.424E+32 120
406479664 2147.837 2147.865 318.358 0.422 8.496E+32 120
406479664 2148.151 2148.161 71.415 0.202 1.906E+32 120
406479664 1426.999 1427.014 64.591 0.080 1.724E+32 120
406479664 1422.593 1422.597 50.197 0.197 1.340E+32 120
406479664 1430.645 1430.653 46.798 0.096 1.249E+32 120
406479664 2161.825 2161.830 29.791 0.086 7.951E+31 120
406479664 1414.379 1414.383 20.978 0.079 5.599E+31 120
394356010 1345.542 1345.678 1948.596 0.636 6.222E+33 120
394356010 1650.887 1650.919 966.404 2.003 3.086E+33 120
394356010 1629.409 1629.427 661.813 1.633 2.113E+33 120
394356010 2059.414 2059.440 411.908 0.793 1.315E+33 120
394356010 1638.184 1638.201 356.253 0.903 1.138E+33 120
394356010 1655.874 1655.908 319.048 0.218 1.019E+33 120
394356010 1675.072 1675.095 302.387 0.456 9.655E+32 120
394356010 1332.000 1332.029 266.382 0.406 8.506E+32 120
394356010 1653.943 1653.954 248.844 0.901 7.946E+32 120
394356010 2065.468 2065.480 235.701 0.568 7.526E+32 120
394356010 1677.700 1677.711 169.309 0.435 5.406E+32 120
394356010 2057.621 2057.637 145.336 0.323 4.641E+32 120
394356010 1350.886 1350.897 145.064 0.420 4.632E+32 120
394356010 1655.694 1655.703 119.617 0.407 3.819E+32 120
394356010 1666.668 1666.681 89.665 0.268 2.863E+32 120
394356010 1647.199 1647.207 67.054 0.128 2.141E+32 120
394356010 2084.508 2084.512 53.647 0.224 1.713E+32 120
394356010 2057.261 2057.268 51.051 0.157 1.630E+32 120
394356010 2076.676 2076.682 48.028 0.133 1.534E+32 120
394356010 2040.183 2040.189 44.590 0.192 1.424E+32 120
394356010 1667.403 1667.408 38.332 0.136 1.224E+32 120
394356010 1326.368 1326.372 35.344 0.162 1.129E+32 120
394356010 1648.629 1648.635 35.142 0.093 1.122E+32 120
394356010 1336.221 1336.228 34.638 0.092 1.106E+32 120
394356010 2077.478 2077.483 33.718 0.118 1.077E+32 120
